timestamp,src_ip,dst_ip,dst_port,protocol,bytes,status,duration_ms
2024-01-15 00:05:12.979797,192.168.1.28,10.0.14.22,80,TCP,867,SUCCESS,7
2024-01-15 00:05:27.273884,192.168.1.4,10.0.88.5,22,TCP,290,SUCCESS,419
2024-01-15 00:05:48.178957,192.168.1.23,10.0.31.60,53,UDP,1886,SUCCESS,24
2024-01-15 00:06:41.587825,192.168.1.28,10.0.3.200,3306,TCP,811,FAILED,37
2024-01-15 00:08:22.336543,192.168.1.7,10.0.77.150,993,TCP,955,SUCCESS,109
2024-01-15 00:13:57.579216,192.168.1.39,10.0.14.22,5432,TCP,867,SUCCESS,241
2024-01-15 00:16:40.336830,192.168.1.14,10.0.7.88,443,TCP,685,SUCCESS,24
2024-01-15 00:16:41.486550,192.168.1.1,10.0.3.200,993,TCP,2362,SUCCESS,420
2024-01-15 00:17:35.441813,192.168.1.41,10.0.31.60,8080,TCP,161,SUCCESS,41
2024-01-15 00:18:52.840371,192.168.1.42,10.0.99.33,8443,TCP,1081,SUCCESS,4
2024-01-15 00:19:27.417844,192.168.1.4,10.0.55.17,80,TCP,601,SUCCESS,138
2024-01-15 00:22:46.039590,192.168.1.41,10.0.11.11,5432,TCP,1225,SUCCESS,22
2024-01-15 00:24:04.193233,192.168.1.5,10.0.55.17,25,TCP,819,SUCCESS,69
2024-01-15 00:30:27.654029,192.168.1.7,10.0.77.150,53,UDP,3156,SUCCESS,93
2024-01-15 00:33:40.925283,192.168.1.17,10.0.11.11,25,TCP,2496,SUCCESS,44
2024-01-15 00:35:00.718530,192.168.1.24,10.0.55.17,22,TCP,323,SUCCESS,88
2024-01-15 00:35:45.198342,192.168.1.30,10.0.200.4,53,UDP,2294,SUCCESS,11
2024-01-15 00:38:05.921838,192.168.1.35,10.0.11.11,21,TCP,636,SUCCESS,112
2024-01-15 00:38:08.463999,192.168.1.24,10.0.3.200,8080,TCP,4748,SUCCESS,26
2024-01-15 00:38:21.936474,192.168.1.2,10.0.11.11,53,UDP,1802,SUCCESS,158
2024-01-15 00:38:34.266733,192.168.1.10,10.0.120.9,22,TCP,380,SUCCESS,288
2024-01-15 00:38:59.583976,192.168.1.35,10.0.44.1,21,TCP,5319,SUCCESS,2
2024-01-15 00:40:12.630628,192.168.1.45,10.0.77.150,587,TCP,874,SUCCESS,86
2024-01-15 00:42:16.458610,192.168.1.3,10.0.77.150,21,TCP,398,SUCCESS,41
2024-01-15 00:43:19.531421,192.168.1.47,10.0.120.9,5432,TCP,691,SUCCESS,39
2024-01-15 00:43:47.034432,192.168.1.35,10.0.88.5,8443,TCP,1396,SUCCESS,67
